AUUC,AUUC_random,C,method,penalty,split
51806.41971215844,31207.646026052476,10,ITE_2M,l2,0
51734.68970534821,31207.646026052476,10,ITE_SDR,l2,0
52954.63571812576,31207.646026052476,10,MITE_2M,l2,0
52804.04116769541,31207.646026052476,10,MITE_SDR,l2,0
50436.92698939849,30399.752588804316,10,ITE_2M,l2,1
50359.440385979586,30399.752588804316,10,ITE_SDR,l2,1
51620.305820070185,30399.752588804316,10,MITE_2M,l2,1
51453.28641429678,30399.752588804316,10,MITE_SDR,l2,1
51402.36940528758,30829.69943635138,10,ITE_2M,l2,2
51331.35859552769,30829.69943635138,10,ITE_SDR,l2,2
52541.452971922976,30829.69943635138,10,MITE_2M,l2,2
52408.391318893264,30829.69943635138,10,MITE_SDR,l2,2
51354.09577506893,30898.60125542157,10,ITE_2M,l2,3
51298.44442599822,30898.60125542157,10,ITE_SDR,l2,3
52466.25250017436,30898.60125542157,10,MITE_2M,l2,3
52304.604957540716,30898.60125542157,10,MITE_SDR,l2,3
51253.58900092976,30935.639768512163,10,ITE_2M,l2,4
51213.161310808835,30935.639768512163,10,ITE_SDR,l2,4
52622.70229344467,30935.639768512163,10,MITE_2M,l2,4
52421.2466448984,30935.639768512163,10,MITE_SDR,l2,4
51073.72256036147,30854.42818179651,10,ITE_2M,l2,5
50999.46432572096,30854.42818179651,10,ITE_SDR,l2,5
52412.90412601717,30854.42818179651,10,MITE_2M,l2,5
52200.77459267786,30854.42818179651,10,MITE_SDR,l2,5
51422.309893221056,31075.208760766545,10,ITE_2M,l2,6
51360.51287748933,31075.208760766545,10,ITE_SDR,l2,6
52510.66251287508,31075.208760766545,10,MITE_2M,l2,6
52355.95523424446,31075.208760766545,10,MITE_SDR,l2,6
50202.22182946618,30425.288227679775,10,ITE_2M,l2,7
50118.14263502586,30425.288227679775,10,ITE_SDR,l2,7
51496.70629613724,30425.288227679775,10,MITE_2M,l2,7
51315.50229634986,30425.288227679775,10,MITE_SDR,l2,7
49657.473664052835,30144.178545452116,10,ITE_2M,l2,8
49573.06714274151,30144.178545452116,10,ITE_SDR,l2,8
50937.64766282878,30144.178545452116,10,MITE_2M,l2,8
50801.63319838951,30144.178545452116,10,MITE_SDR,l2,8
51324.28790871788,30939.293307334257,10,ITE_2M,l2,9
51262.448293949295,30939.293307334257,10,ITE_SDR,l2,9
52547.97575647725,30939.293307334257,10,MITE_2M,l2,9
52373.608584251044,30939.293307334257,10,MITE_SDR,l2,9
52407.24934050077,31705.519995653114,10,ITE_2M,l2,10
52367.877146198065,31705.519995653114,10,ITE_SDR,l2,10
53703.35143688691,31705.519995653114,10,MITE_2M,l2,10
53491.694228274246,31705.519995653114,10,MITE_SDR,l2,10
51002.33651709782,30609.24825561444,10,ITE_2M,l2,11
50951.69785150672,30609.24825561444,10,ITE_SDR,l2,11
52192.649229508344,30609.24825561444,10,MITE_2M,l2,11
51991.957897027765,30609.24825561444,10,MITE_SDR,l2,11
50520.13899623764,30574.853185167085,10,ITE_2M,l2,12
50451.399399872476,30574.853185167085,10,ITE_SDR,l2,12
52045.28295134758,30574.853185167085,10,MITE_2M,l2,12
51814.65716698418,30574.853185167085,10,MITE_SDR,l2,12
50773.62267439553,30460.491545177836,10,ITE_2M,l2,13
50723.79801236006,30460.491545177836,10,ITE_SDR,l2,13
51995.5540152681,30460.491545177836,10,MITE_2M,l2,13
51826.939347580716,30460.491545177836,10,MITE_SDR,l2,13
51600.153178858556,31240.963506778542,10,ITE_2M,l2,14
51525.88306776676,31240.963506778542,10,ITE_SDR,l2,14
52920.33891005377,31240.963506778542,10,MITE_2M,l2,14
52756.091830700054,31240.963506778542,10,MITE_SDR,l2,14
50813.78159491518,30595.818122555414,10,ITE_2M,l2,15
50745.21619631053,30595.818122555414,10,ITE_SDR,l2,15
52128.86112096818,30595.818122555414,10,MITE_2M,l2,15
51940.15976864859,30595.818122555414,10,MITE_SDR,l2,15
51760.6207503726,31200.29496400134,10,ITE_2M,l2,16
51693.35850188444,31200.29496400134,10,ITE_SDR,l2,16
52845.22751500346,31200.29496400134,10,MITE_2M,l2,16
52704.47418679958,31200.29496400134,10,MITE_SDR,l2,16
50358.27659442139,30380.131348249997,10,ITE_2M,l2,17
50288.57318069091,30380.131348249997,10,ITE_SDR,l2,17
51456.155198316774,30380.131348249997,10,MITE_2M,l2,17
51351.659982068384,30380.131348249997,10,MITE_SDR,l2,17
51415.1228963816,31156.02816329956,10,ITE_2M,l2,18
51352.51476675283,31156.02816329956,10,ITE_SDR,l2,18
52804.734508325906,31156.02816329956,10,MITE_2M,l2,18
52625.117371508466,31156.02816329956,10,MITE_SDR,l2,18
49892.3753747495,30449.44195385465,10,ITE_2M,l2,19
49811.00743445554,30449.44195385465,10,ITE_SDR,l2,19
51335.721253743126,30449.44195385465,10,MITE_2M,l2,19
51109.60981235857,30449.44195385465,10,MITE_SDR,l2,19
49831.733869160154,29881.56257739532,10,ITE_2M,l2,20
49767.75272231828,29881.56257739532,10,ITE_SDR,l2,20
50797.934430725225,29881.56257739532,10,MITE_2M,l2,20
50647.845773026354,29881.56257739532,10,MITE_SDR,l2,20
50482.064438697904,30712.35734728958,10,ITE_2M,l2,21
50396.427744346736,30712.35734728958,10,ITE_SDR,l2,21
52009.86486075804,30712.35734728958,10,MITE_2M,l2,21
51796.03663150821,30712.35734728958,10,MITE_SDR,l2,21
50501.85736120782,30528.9178925007,10,ITE_2M,l2,22
50444.919566255056,30528.9178925007,10,ITE_SDR,l2,22
51721.16804131538,30528.9178925007,10,MITE_2M,l2,22
51536.748106213585,30528.9178925007,10,MITE_SDR,l2,22
50743.54067977137,30611.73137939615,10,ITE_2M,l2,23
50655.625275802,30611.73137939615,10,ITE_SDR,l2,23
52276.10381615844,30611.73137939615,10,MITE_2M,l2,23
52064.619846809845,30611.73137939615,10,MITE_SDR,l2,23
52217.78887377693,31507.177569086067,10,ITE_2M,l2,24
52162.78008370067,31507.177569086067,10,ITE_SDR,l2,24
53478.66621029728,31507.177569086067,10,MITE_2M,l2,24
53302.81899263614,31507.177569086067,10,MITE_SDR,l2,24
51754.966085311324,31286.703462592122,10,ITE_2M,l2,25
51720.458439110706,31286.703462592122,10,ITE_SDR,l2,25
53053.37782163571,31286.703462592122,10,MITE_2M,l2,25
52841.550790094305,31286.703462592122,10,MITE_SDR,l2,25
51470.795379366755,31113.53117225523,10,ITE_2M,l2,26
51398.33895242204,31113.53117225523,10,ITE_SDR,l2,26
52816.57320141267,31113.53117225523,10,MITE_2M,l2,26
52633.08238997403,31113.53117225523,10,MITE_SDR,l2,26
49848.26265983446,29917.225080735254,10,ITE_2M,l2,27
49759.60440111508,29917.225080735254,10,ITE_SDR,l2,27
50904.03011129879,29917.225080735254,10,MITE_2M,l2,27
50732.22113280938,29917.225080735254,10,MITE_SDR,l2,27
51600.07312730271,30863.644150053966,10,ITE_2M,l2,28
51516.4503929814,30863.644150053966,10,ITE_SDR,l2,28
52841.04949118613,30863.644150053966,10,MITE_2M,l2,28
52683.40703971867,30863.644150053966,10,MITE_SDR,l2,28
50038.50704607836,30225.70387882949,10,ITE_2M,l2,29
49974.621583886335,30225.70387882949,10,ITE_SDR,l2,29
51410.398936793,30225.70387882949,10,MITE_2M,l2,29
51214.39753974409,30225.70387882949,10,MITE_SDR,l2,29
51312.11359595423,30914.671889072153,10,ITE_2M,l2,30
51219.255651584805,30914.671889072153,10,ITE_SDR,l2,30
52393.06427583836,30914.671889072153,10,MITE_2M,l2,30
52312.443812629965,30914.671889072153,10,MITE_SDR,l2,30
52360.56876195417,31530.51168931194,10,ITE_2M,l2,31
52304.00355637391,31530.51168931194,10,ITE_SDR,l2,31
53498.80100886078,31530.51168931194,10,MITE_2M,l2,31
53351.48011894458,31530.51168931194,10,MITE_SDR,l2,31
49981.33843071035,30372.678946826054,10,ITE_2M,l2,32
49921.93850282035,30372.678946826054,10,ITE_SDR,l2,32
51273.220856879656,30372.678946826054,10,MITE_2M,l2,32
51055.18777361692,30372.678946826054,10,MITE_SDR,l2,32
52025.24470579993,31349.21005912646,10,ITE_2M,l2,33
51949.43574593351,31349.21005912646,10,ITE_SDR,l2,33
53336.26914610667,31349.21005912646,10,MITE_2M,l2,33
53119.929543534876,31349.21005912646,10,MITE_SDR,l2,33
51830.003710105906,31389.043168473218,10,ITE_2M,l2,34
51765.302947480544,31389.043168473218,10,ITE_SDR,l2,34
53238.04020817653,31389.043168473218,10,MITE_2M,l2,34
52992.660565305945,31389.043168473218,10,MITE_SDR,l2,34
51240.81416355552,30981.4786476546,10,ITE_2M,l2,35
51174.08902236488,30981.4786476546,10,ITE_SDR,l2,35
52479.72514249629,30981.4786476546,10,MITE_2M,l2,35
52324.49086603998,30981.4786476546,10,MITE_SDR,l2,35
52254.20871616471,31539.599225552476,10,ITE_2M,l2,36
52190.595108522095,31539.599225552476,10,ITE_SDR,l2,36
53594.37921268426,31539.599225552476,10,MITE_2M,l2,36
53392.2117490033,31539.599225552476,10,MITE_SDR,l2,36
51566.74690588183,31120.288633288234,10,ITE_2M,l2,37
51502.25859741419,31120.288633288234,10,ITE_SDR,l2,37
52956.7731575568,31120.288633288234,10,MITE_2M,l2,37
52735.725650539214,31120.288633288234,10,MITE_SDR,l2,37
51017.67254411031,30914.171660581647,10,ITE_2M,l2,38
50956.666594894814,30914.171660581647,10,ITE_SDR,l2,38
52215.398982285384,30914.171660581647,10,MITE_2M,l2,38
52072.71573263508,30914.171660581647,10,MITE_SDR,l2,38
51744.48646714994,30973.647828540707,10,ITE_2M,l2,39
51666.61761590673,30973.647828540707,10,ITE_SDR,l2,39
52867.65222199939,30973.647828540707,10,MITE_2M,l2,39
52697.921532893415,30973.647828540707,10,MITE_SDR,l2,39
50627.45710480501,30734.616789853855,10,ITE_2M,l2,40
50583.238426685384,30734.616789853855,10,ITE_SDR,l2,40
51878.99546407984,30734.616789853855,10,MITE_2M,l2,40
51690.532095735165,30734.616789853855,10,MITE_SDR,l2,40
50842.54876471494,30619.567279802723,10,ITE_2M,l2,41
50775.702259283724,30619.567279802723,10,ITE_SDR,l2,41
51997.212014802404,30619.567279802723,10,MITE_2M,l2,41
51846.50839112892,30619.567279802723,10,MITE_SDR,l2,41
51352.055965748375,31085.797385162252,10,ITE_2M,l2,42
51288.8940756557,31085.797385162252,10,ITE_SDR,l2,42
52609.44210331419,31085.797385162252,10,MITE_2M,l2,42
52460.64831375421,31085.797385162252,10,MITE_SDR,l2,42
51755.5398683655,31209.252218875612,10,ITE_2M,l2,43
51690.39353059885,31209.252218875612,10,ITE_SDR,l2,43
53093.54268863172,31209.252218875612,10,MITE_2M,l2,43
52859.30405202981,31209.252218875612,10,MITE_SDR,l2,43
51786.013372707705,31088.79944535863,10,ITE_2M,l2,44
51717.227749363934,31088.79944535863,10,ITE_SDR,l2,44
53019.53543353687,31088.79944535863,10,MITE_2M,l2,44
52864.85103968535,31088.79944535863,10,MITE_SDR,l2,44
50758.418297317774,30386.813256467096,10,ITE_2M,l2,45
50681.44752351023,30386.813256467096,10,ITE_SDR,l2,45
51828.49886011567,30386.813256467096,10,MITE_2M,l2,45
51669.1457638925,30386.813256467096,10,MITE_SDR,l2,45
51054.8386711703,30626.650750212328,10,ITE_2M,l2,46
50992.74612875321,30626.650750212328,10,ITE_SDR,l2,46
52247.77821315501,30626.650750212328,10,MITE_2M,l2,46
52102.31904115466,30626.650750212328,10,MITE_SDR,l2,46
50290.21624265358,30512.699585617578,10,ITE_2M,l2,47
50216.467010013235,30512.699585617578,10,ITE_SDR,l2,47
51432.098537253994,30512.699585617578,10,MITE_2M,l2,47
51272.09368600213,30512.699585617578,10,MITE_SDR,l2,47
50264.45124200746,30336.32280452014,10,ITE_2M,l2,48
50174.57136218804,30336.32280452014,10,ITE_SDR,l2,48
51693.71014735692,30336.32280452014,10,MITE_2M,l2,48
51493.027301192815,30336.32280452014,10,MITE_SDR,l2,48
50595.45002718618,30670.02392495291,10,ITE_2M,l2,49
50528.570774775086,30670.02392495291,10,ITE_SDR,l2,49
51987.11486284522,30670.02392495291,10,MITE_2M,l2,49
51813.76147601403,30670.02392495291,10,MITE_SDR,l2,49
50717.33470382275,30406.04118465264,10,ITE_2M,l2,50
50633.80099338129,30406.04118465264,10,ITE_SDR,l2,50
51941.91453613787,30406.04118465264,10,MITE_2M,l2,50
51773.394493745494,30406.04118465264,10,MITE_SDR,l2,50
51592.862078587146,31027.18051167582,10,ITE_2M,l2,51
51515.016263872974,31027.18051167582,10,ITE_SDR,l2,51
52923.57619714031,31027.18051167582,10,MITE_2M,l2,51
52712.31370445679,31027.18051167582,10,MITE_SDR,l2,51
51246.965113870225,31059.699933607306,10,ITE_2M,l2,52
51185.19614093126,31059.699933607306,10,ITE_SDR,l2,52
52298.556685920616,31059.699933607306,10,MITE_2M,l2,52
52147.84296203141,31059.699933607306,10,MITE_SDR,l2,52
50982.02550360971,30802.457502199715,10,ITE_2M,l2,53
50931.22396469421,30802.457502199715,10,ITE_SDR,l2,53
52125.1915429046,30802.457502199715,10,MITE_2M,l2,53
51987.71667548691,30802.457502199715,10,MITE_SDR,l2,53
50975.60228581213,30823.60688922454,10,ITE_2M,l2,54
50906.14898102869,30823.60688922454,10,ITE_SDR,l2,54
52184.656929288234,30823.60688922454,10,MITE_2M,l2,54
52015.53602890668,30823.60688922454,10,MITE_SDR,l2,54
50748.20149101685,30734.602629600937,10,ITE_2M,l2,55
50674.583209012315,30734.602629600937,10,ITE_SDR,l2,55
52062.88493118228,30734.602629600937,10,MITE_2M,l2,55
51897.00590980278,30734.602629600937,10,MITE_SDR,l2,55
50022.473342418445,30134.685806199952,10,ITE_2M,l2,56
49973.15307300448,30134.685806199952,10,ITE_SDR,l2,56
51208.09406194697,30134.685806199952,10,MITE_2M,l2,56
51042.823383870185,30134.685806199952,10,MITE_SDR,l2,56
51379.477615565535,30732.62969009872,10,ITE_2M,l2,57
51328.05889324763,30732.62969009872,10,ITE_SDR,l2,57
52325.0183195978,30732.62969009872,10,MITE_2M,l2,57
52238.6092776201,30732.62969009872,10,MITE_SDR,l2,57
51247.839266269235,30924.01987707753,10,ITE_2M,l2,58
51184.19027580507,30924.01987707753,10,ITE_SDR,l2,58
52392.22659391989,30924.01987707753,10,MITE_2M,l2,58
52240.51687601396,30924.01987707753,10,MITE_SDR,l2,58
50912.42763580055,30693.14566670831,10,ITE_2M,l2,59
50826.94262835829,30693.14566670831,10,ITE_SDR,l2,59
52120.00141850267,30693.14566670831,10,MITE_2M,l2,59
51965.77164235151,30693.14566670831,10,MITE_SDR,l2,59
51958.97482130272,31433.122404453956,10,ITE_2M,l2,60
51870.63629252652,31433.122404453956,10,ITE_SDR,l2,60
53482.35910189544,31433.122404453956,10,MITE_2M,l2,60
53228.64615422576,31433.122404453956,10,MITE_SDR,l2,60
50156.762519001764,30118.655254301266,10,ITE_2M,l2,61
50087.40604041546,30118.655254301266,10,ITE_SDR,l2,61
51308.4474170527,30118.655254301266,10,MITE_2M,l2,61
51164.061699731305,30118.655254301266,10,MITE_SDR,l2,61
50929.67747385948,30692.838564277772,10,ITE_2M,l2,62
50845.8243619202,30692.838564277772,10,ITE_SDR,l2,62
52260.20098770543,30692.838564277772,10,MITE_2M,l2,62
52082.62077921697,30692.838564277772,10,MITE_SDR,l2,62
51468.38701829608,30982.04912356344,10,ITE_2M,l2,63
51392.81345939279,30982.04912356344,10,ITE_SDR,l2,63
52990.058606249004,30982.04912356344,10,MITE_2M,l2,63
52743.417577629414,30982.04912356344,10,MITE_SDR,l2,63
51542.69077976557,30938.86251197233,10,ITE_2M,l2,64
51476.34501166675,30938.86251197233,10,ITE_SDR,l2,64
52734.691625409665,30938.86251197233,10,MITE_2M,l2,64
52569.207695031415,30938.86251197233,10,MITE_SDR,l2,64
50394.23598024133,30295.582974008343,10,ITE_2M,l2,65
50318.520070477585,30295.582974008343,10,ITE_SDR,l2,65
51707.32563806983,30295.582974008343,10,MITE_2M,l2,65
51516.025982127736,30295.582974008343,10,MITE_SDR,l2,65
51318.999189280476,30916.988045842532,10,ITE_2M,l2,66
51254.81995449858,30916.988045842532,10,ITE_SDR,l2,66
52543.3280686362,30916.988045842532,10,MITE_2M,l2,66
52372.287902589174,30916.988045842532,10,MITE_SDR,l2,66
49613.131885722396,29976.91841958587,10,ITE_2M,l2,67
49546.11596061261,29976.91841958587,10,ITE_SDR,l2,67
51101.23372359561,29976.91841958587,10,MITE_2M,l2,67
50865.61275277072,29976.91841958587,10,MITE_SDR,l2,67
51312.34451823785,30652.48415038931,10,ITE_2M,l2,68
51235.920205978946,30652.48415038931,10,ITE_SDR,l2,68
52490.06153261845,30652.48415038931,10,MITE_2M,l2,68
52320.50967785342,30652.48415038931,10,MITE_SDR,l2,68
50511.36487171116,30512.59505249177,10,ITE_2M,l2,69
50446.53334347954,30512.59505249177,10,ITE_SDR,l2,69
51826.00411200691,30512.59505249177,10,MITE_2M,l2,69
51656.79036702849,30512.59505249177,10,MITE_SDR,l2,69
52213.98178704435,31475.97030403017,10,ITE_2M,l2,70
52131.05578928243,31475.97030403017,10,ITE_SDR,l2,70
53617.194118879386,31475.97030403017,10,MITE_2M,l2,70
53451.148002144575,31475.97030403017,10,MITE_SDR,l2,70
50791.64844477836,30740.72624192483,10,ITE_2M,l2,71
50718.18440002166,30740.72624192483,10,ITE_SDR,l2,71
52010.403995972825,30740.72624192483,10,MITE_2M,l2,71
51863.27217562821,30740.72624192483,10,MITE_SDR,l2,71
51013.13921725473,30749.253337076414,10,ITE_2M,l2,72
50921.483160953794,30749.253337076414,10,ITE_SDR,l2,72
52518.81988155023,30749.253337076414,10,MITE_2M,l2,72
52350.420873071125,30749.253337076414,10,MITE_SDR,l2,72
51104.164088788304,30706.493542034033,10,ITE_2M,l2,73
51019.428601238804,30706.493542034033,10,ITE_SDR,l2,73
52310.1156727668,30706.493542034033,10,MITE_2M,l2,73
52154.92280216106,30706.493542034033,10,MITE_SDR,l2,73
50615.4663295206,30477.772267050954,10,ITE_2M,l2,74
50545.00714451874,30477.772267050954,10,ITE_SDR,l2,74
51953.95069422907,30477.772267050954,10,MITE_2M,l2,74
51762.05341925885,30477.772267050954,10,MITE_SDR,l2,74
48999.98690193457,29489.227680846074,10,ITE_2M,l2,75
48936.7825448447,29489.227680846074,10,ITE_SDR,l2,75
50258.70423719412,29489.227680846074,10,MITE_2M,l2,75
50062.00621917372,29489.227680846074,10,MITE_SDR,l2,75
51554.696016768554,31179.608250364152,10,ITE_2M,l2,76
51492.09546294726,31179.608250364152,10,ITE_SDR,l2,76
52895.37520604334,31179.608250364152,10,MITE_2M,l2,76
52683.75238438348,31179.608250364152,10,MITE_SDR,l2,76
50075.60412450708,30303.208354432558,10,ITE_2M,l2,77
49999.99308170601,30303.208354432558,10,ITE_SDR,l2,77
51440.87033242723,30303.208354432558,10,MITE_2M,l2,77
51189.70401780975,30303.208354432558,10,MITE_SDR,l2,77
51410.30655785749,30796.006261968883,10,ITE_2M,l2,78
51332.6716362654,30796.006261968883,10,ITE_SDR,l2,78
52770.536804215015,30796.006261968883,10,MITE_2M,l2,78
52543.765921077655,30796.006261968883,10,MITE_SDR,l2,78
50502.17375940742,30522.02873936016,10,ITE_2M,l2,79
50408.128865237195,30522.02873936016,10,ITE_SDR,l2,79
51830.104512302874,30522.02873936016,10,MITE_2M,l2,79
51685.10909902476,30522.02873936016,10,MITE_SDR,l2,79
51010.807766559024,30769.545316136573,10,ITE_2M,l2,80
50950.89928982915,30769.545316136573,10,ITE_SDR,l2,80
52244.421548153536,30769.545316136573,10,MITE_2M,l2,80
52093.05470832516,30769.545316136573,10,MITE_SDR,l2,80
50439.32012208133,30358.917815245703,10,ITE_2M,l2,81
50346.02009550415,30358.917815245703,10,ITE_SDR,l2,81
51655.12202916399,30358.917815245703,10,MITE_2M,l2,81
51525.927003408884,30358.917815245703,10,MITE_SDR,l2,81
51091.274717465916,30758.436141569997,10,ITE_2M,l2,82
51032.34563779979,30758.436141569997,10,ITE_SDR,l2,82
52362.523888316944,30758.436141569997,10,MITE_2M,l2,82
52149.47657071015,30758.436141569997,10,MITE_SDR,l2,82
51599.9547426371,30981.886936428768,10,ITE_2M,l2,83
51520.415686313456,30981.886936428768,10,ITE_SDR,l2,83
52959.79938723116,30981.886936428768,10,MITE_2M,l2,83
52798.90771649136,30981.886936428768,10,MITE_SDR,l2,83
50984.75155583445,30791.35668343774,10,ITE_2M,l2,84
50910.28493322843,30791.35668343774,10,ITE_SDR,l2,84
52144.94402812568,30791.35668343774,10,MITE_2M,l2,84
52002.984965672345,30791.35668343774,10,MITE_SDR,l2,84
50295.822884984394,30382.140834799022,10,ITE_2M,l2,85
50207.03876318351,30382.140834799022,10,ITE_SDR,l2,85
51848.26507229777,30382.140834799022,10,MITE_2M,l2,85
51626.80951566211,30382.140834799022,10,MITE_SDR,l2,85
51029.34562226581,30560.39222177674,10,ITE_2M,l2,86
50968.120884610886,30560.39222177674,10,ITE_SDR,l2,86
52281.78549719727,30560.39222177674,10,MITE_2M,l2,86
52074.7323435045,30560.39222177674,10,MITE_SDR,l2,86
51287.75466782375,31155.595817738562,10,ITE_2M,l2,87
51216.02882676412,31155.595817738562,10,ITE_SDR,l2,87
52672.89494123519,31155.595817738562,10,MITE_2M,l2,87
52492.108589644275,31155.595817738562,10,MITE_SDR,l2,87
50096.97327322344,30101.37616646588,10,ITE_2M,l2,88
50054.0023682805,30101.37616646588,10,ITE_SDR,l2,88
51109.35476756532,30101.37616646588,10,MITE_2M,l2,88
51041.23638880412,30101.37616646588,10,MITE_SDR,l2,88
49289.832887667595,29732.371701612836,10,ITE_2M,l2,89
49229.86591406017,29732.371701612836,10,ITE_SDR,l2,89
50516.80322099751,29732.371701612836,10,MITE_2M,l2,89
50367.7997163971,29732.371701612836,10,MITE_SDR,l2,89
51210.414834047646,31064.877123442813,10,ITE_2M,l2,90
51134.176313186494,31064.877123442813,10,ITE_SDR,l2,90
52747.484706637704,31064.877123442813,10,MITE_2M,l2,90
52489.201303005786,31064.877123442813,10,MITE_SDR,l2,90
51240.17694546665,30841.764267443985,10,ITE_2M,l2,91
51180.23630013479,30841.764267443985,10,ITE_SDR,l2,91
52431.97890193658,30841.764267443985,10,MITE_2M,l2,91
52276.57723083184,30841.764267443985,10,MITE_SDR,l2,91
51867.21228390145,31033.930769846935,10,ITE_2M,l2,92
51802.69877920984,31033.930769846935,10,ITE_SDR,l2,92
52753.9218394577,31033.930769846935,10,MITE_2M,l2,92
52665.54402294853,31033.930769846935,10,MITE_SDR,l2,92
50724.47999540262,30499.868160095808,10,ITE_2M,l2,93
50640.88355654781,30499.868160095808,10,ITE_SDR,l2,93
51916.937710022656,30499.868160095808,10,MITE_2M,l2,93
51755.29666123873,30499.868160095808,10,MITE_SDR,l2,93
50543.91191748518,30582.731963346596,10,ITE_2M,l2,94
50464.30427616014,30582.731963346596,10,ITE_SDR,l2,94
51732.03880289788,30582.731963346596,10,MITE_2M,l2,94
51608.8307718208,30582.731963346596,10,MITE_SDR,l2,94
51857.884797962965,31086.425771867347,10,ITE_2M,l2,95
51801.99047203821,31086.425771867347,10,ITE_SDR,l2,95
53188.54932566127,31086.425771867347,10,MITE_2M,l2,95
53000.88692695738,31086.425771867347,10,MITE_SDR,l2,95
51052.31964170819,30844.456887590743,10,ITE_2M,l2,96
50975.32167103978,30844.456887590743,10,ITE_SDR,l2,96
52204.25275413006,30844.456887590743,10,MITE_2M,l2,96
52051.45317692234,30844.456887590743,10,MITE_SDR,l2,96
50417.16972015333,30654.546409807357,10,ITE_2M,l2,97
50338.965902247364,30654.546409807357,10,ITE_SDR,l2,97
51641.850495011284,30654.546409807357,10,MITE_2M,l2,97
51478.03797545145,30654.546409807357,10,MITE_SDR,l2,97
52062.785126214396,31214.338837534146,10,ITE_2M,l2,98
51997.31651703785,31214.338837534146,10,ITE_SDR,l2,98
53209.40006726394,31214.338837534146,10,MITE_2M,l2,98
53035.12877654675,31214.338837534146,10,MITE_SDR,l2,98
51797.28620482765,31130.354910043796,10,ITE_2M,l2,99
51724.84716009659,31130.354910043796,10,ITE_SDR,l2,99
52968.321029933264,31130.354910043796,10,MITE_2M,l2,99
52822.937895695584,31130.354910043796,10,MITE_SDR,l2,99
